Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Rarely,409,Sales,23,4,Marketing,1,1,2,Female,50,1,1,Research Director,2,Divorced,6587,7120,6,Y,No,17,3,3,80,3,36,5,2,0,12,9,0
46,No,Travel_Rarely,1255,Sales,10,2,Medical,1,2,1,Male,64,3,1,Manager,4,Single,2356,16678,0,Y,Yes,18,3,1,80,0,27,0,1,15,7,6,7
32,No,Non-Travel,1195,Research & Development,10,1,Medical,1,3,4,Female,58,4,5,Human Resources,2,Married,17787,25128,6,Y,Yes,15,4,4,80,3,8,2,2,17,5,4,8
25,No,Travel_Rarely,944,Research & Development,20,4,Other,1,4,1,Female,36,2,2,Human Resources,2,Single,7499,19425,7,Y,No,13,3,2,80,1,13,1,3,4,13,0,6
38,No,Travel_Rarely,1310,Research & Development,25,3,Other,1,5,3,Female,82,1,1,Human Resources,4,Married,5841,6715,2,Y,No,25,3,1,80,2,2,5,4,4,10,9,7
56,No,Non-Travel,585,Human Resources,22,3,Life Sciences,1,6,3,Female,66,2,4,Manager,1,Single,14122,3394,8,Y,Yes,16,4,1,80,1,4,2,2,9,12,7,3
36,Yes,Non-Travel,1314,Sales,29,2,Life Sciences,1,7,1,Female,52,2,4,Human Resources,1,Divorced,15409,4869,7,Y,No,15,4,1,80,3,25,6,1,11,12,2,7
40,No,Travel_Rarely,219,Human Resources,3,3,Marketing,1,8,4,Female,37,1,5,Laboratory Technician,3,Married,9059,5676,1,Y,Yes,18,3,1,80,1,17,0,1,9,11,6,2
28,No,Non-Travel,319,Human Resources,6,1,Other,1,9,1,Female,77,3,4,Healthcare Representative,4,Divorced,2665,5721,5,Y,Yes,19,4,1,80,1,37,4,2,1,13,5,0
28,No,Travel_Frequently,152,Sales,29,4,Human Resources,1,10,3,Female,39,3,5,Research Scientist,3,Married,12220,7690,3,Y,No,19,3,1,80,1,20,3,1,0,5,9,7
41,No,Travel_Frequently,1360,Sales,26,3,Marketing,1,11,3,Male,53,2,1,Research Director,4,Married,12774,7818,2,Y,No,22,3,2,80,0,38,0,4,15,8,5,5
53,Yes,Non-Travel,857,Research & Development,6,3,Technical Degree,1,12,4,Male,76,1,1,Manufacturing Director,3,Married,2553,2234,5,Y,No,22,3,4,80,0,15,2,4,17,0,7,8
57,No,Non-Travel,837,Research & Development,21,4,Medical,1,13,1,Male,82,3,1,Manager,2,Married,15860,5140,9,Y,Yes,16,4,4,80,2,39,5,1,6,13,3,2
41,No,Travel_Rarely,819,Human Resources,2,2,Medical,1,14,3,Male,68,2,1,Manager,4,Divorced,9045,10638,8,Y,Yes,25,3,1,80,3,22,5,2,3,3,3,7
20,No,Non-Travel,505,Research & Development,26,3,Life Sciences,1,15,3,Female,96,4,2,Healthcare Representative,1,Married,11380,14897,1,Y,Yes,14,4,2,80,3,28,2,2,9,9,2,8
39,No,Travel_Rarely,707,Research & Development,26,2,Human Resources,1,16,1,Female,95,1,2,Sales Executive,4,Single,2149,26583,9,Y,Yes,14,4,1,80,2,9,3,1,9,12,0,8
19,No,Travel_Frequently,1120,Sales,18,2,Other,1,17,1,Male,35,4,1,Sales Representative,3,Single,18373,19383,9,Y,No,19,4,3,80,3,4,0,4,10,9,9,6
41,No,Non-Travel,521,Sales,23,3,Other,1,18,2,Male,50,4,4,Research Director,3,Married,15343,19718,9,Y,Yes,14,4,4,80,3,10,5,4,2,11,2,9
47,Yes,Travel_Rarely,811,Research & Development,2,1,Life Sciences,1,19,4,Male,65,2,5,Sales Executive,3,Divorced,4853,10325,4,Y,No,18,3,1,80,1,28,5,2,13,1,0,2
55,No,Travel_Rarely,346,Sales,12,2,Technical Degree,1,20,4,Female,32,1,3,Sales Representative,3,Divorced,12128,12624,5,Y,Yes,19,4,2,80,1,26,4,4,12,8,5,2
19,No,Travel_Frequently,171,Research & Development,22,3,Marketing,1,21,1,Female,71,3,5,Manufacturing Director,3,Married,14580,26631,3,Y,Yes,15,3,4,80,3,33,1,3,18,2,7,1
38,No,Non-Travel,284,Sales,5,2,Marketing,1,22,4,Male,74,3,3,Manager,3,Divorced,17254,23472,6,Y,No,23,3,2,80,2,13,4,4,9,9,2,0
50,Yes,Travel_Frequently,105,Sales,20,4,Human Resources,1,23,3,Male,73,2,3,Human Resources,1,Divorced,4736,23863,1,Y,Yes,16,3,3,80,2,9,1,2,14,10,3,1
29,No,Travel_Rarely,1329,Sales,7,1,Life Sciences,1,24,1,Male,62,3,1,Healthcare Representative,3,Divorced,2956,8090,6,Y,No,13,3,1,80,3,10,5,4,7,1,4,4
39,No,Travel_Rarely,1005,Sales,24,1,Life Sciences,1,25,1,Male,89,3,3,Research Director,1,Married,13440,13377,1,Y,Yes,22,4,3,80,2,10,1,4,16,7,6,0
42,No,Non-Travel,486,Research & Development,16,4,Technical Degree,1,26,1,Male,99,4,1,Healthcare Representative,4,Single,7180,19495,0,Y,No,15,4,4,80,2,34,0,1,5,3,5,9
